DB Name,Table Name,LRF Layout,LRF Path,LRF Name,MF Script
MR2000,TTTR012_SALES_POSITION_WORK,"1,4,40,40,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR012.TTTR012.NDMFILE.SFK.*.DAT,"MLTTR012
"
MR2000,TZTF023_MASTER_RC,"9,9,2,1,2,1,4,1,2,1,2,1,4,37,9,2,1,2,1,4,1,2,1,2,1,4,1",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,SWAPSC.DWZTF023.TZTF023.NDMFILE.SFK.*.DAT,MLZTF023
MR2000,TZTF105_REV_ELMNTN_CARRIER,"1, 5, 80, 8, 8",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,DWDA.DWZTF105.TZTF105.NDMFILE.SFK.*.dat,MLZTF105
MR2000,TZTF106_REVENUE_ELMNTN_AFLT,"1, 11, 8, 8, 33",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,DWDA.DWZTF106.TZTF106.NDMFILE.SFK.*.dat,MLZTF106
MR2000,TZTF107_REV_ELMNTN_CXR_ACCT,"1, 2, 3, 3, 4, 3, 8, 8, 8, 1, 28",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,DWDA.DWZTF107.TZTF107.NDMFILE.SFK.*.dat,MLZTF107
MR2000,TZTF337_MOB_SGMNT_ALLCT_LOAD,"11,20,15,2,8,10,10,15,1,10,2,10,7,18",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.MR2020.TZTF337.NDMFILE.SFK.*.DAT,MLZTF337
MR2000,TZTF502_STMS_CUST_LVL_STAGE,"01, 08, 09, 02, 04, 08, 08, 16, 04, 03, 03, 09, 01, 17, 03, 04, 04, 12, 01, 09, 03, 16, 09, 01, 17, 17, 02, 09, 02, 32, 18, 17, 01, 07, 12, 08, 02, 10, 10, 32",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DTVDT.TZTF502.NDMFILE.SFK.*.dat,"MLZTF502
"
MR2000,TZTF502_STMS_CUST_LVL_STAGE_HD,"01, 01, 01, 08, 07, 06, 07, 06",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DTVHD.TZTF502.NDMFILE.SFK.*.dat,MLZTF502
MR2000,TZTF502_STMS_CUST_LVL_STAGE_TR,"01, 01, 01, 08, 15, 17, 01, 15, 17",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DTVTR.TZTF502.NDMFILE.SFK.*.dat,MLZTF502
MR2000,TZTF504_OM_CUST_LVL_REV_STAGE,"01, 08, 04, 24, 07, 10, 50, 20, 04, 04, 12, 20, 20, 10, 10, 02, 03, 03, 01, 09, 03, 30, 32, 18, 10, 60, 1000, 250, 10, 75",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DTVDT.TZTF504.
NDMFILE.SFK.*.dat

","MLZTF504
"
MR2000,TZTF504_OM_CUST_LVL_REV_STG_HD,"01, 01, 01, 08, 07, 06, 07",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DTVHD.TZTF504.
NDMFILE.SFK.*.dat

","MLZTF504
"
MR2000,TZTF504_OM_CUST_LVL_REV_STG_TR,"01, 01, 01, 08, 15, 20",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DTVTR
.TZTF504.
NDMFILE.SFK.*.dat","MLZTF504
"
MR2000,TZTF531_DTV_INTRNL_ORDR_STG_DT,"1, 03, 09, 29, 04, 02, 01, 04, 04, 04, 18, 10, 10, 12, 10, 10, 12, 50, 100, 02",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVDT.TZTF531.NDMFILE.SFK.*.dat,"MLZTF531
"
MR2000,TZTF531_DTV_INTRNL_ORDR_STG_HD,"01, 01, 01, 08, 07, 06, 07",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVHD.TZTF531.NDMFILE.SFK.*.dat,MLZTF531
MR2000,TZTF531_DTV_INTRNL_ORDR_STG_TR,"01, 01, 01, 08, 15, 17",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVTR.TZTF531.NDMFILE.SFK.*.dat ,MLZTF531
MR2000,TZTF532_DTV_SAP_REV_01_STG_DT,"20, 20, 01, 09, 20, 04, 02, 01, 01, 01, 01, 04, 04, 04, 18, 10, 10, 12, 24, 10, 10, 12, 24, 50, 50, 10, 100",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVDT.TZTF532.NDMFILE.SFK.*.dat,"MLZTF532
"
MR2000,TZTF532_DTV_SAP_REV_01_STG_HD,"01, 01, 01, 08, 07, 06, 07",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVHD.TZTF532.NDMFILE.SFK.*.dat,MLZTF532
MR2000,TZTF532_DTV_SAP_REV_01_STG_TR,"01, 01, 01, 08, 15, 17",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVTR.TZTF532.NDMFILE.SFK.*.dat,MLZTF532
MR2000,TZTF536_DTV_SAP_RPT_09_STG,"01, 03, 06, 04, 02, 29, 01, 01, 04, 04, 04, 18, 10, 10, 12, 50, 40, 100",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVDT.TZTF536.NDMFILE.SFK.*.dat,"MLZTF536
"
MR2000,TZTF536_DTV_SAP_RPT_09_STG_HD,"01, 01, 01, 08, 07, 06, 07",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVHD.TZTF536.NDMFILE.SFK.*.dat,MLZTF536
MR2000,TZTF536_DTV_SAP_RPT_09_STG_TR,"01, 01, 01, 08, 15, 17",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,ERSFRCQ.DTVTR.TZTF536.NDMFILE.SFK.*.dat,MLZTF536
SDR_PROCESSES        ,VCCR0H3_ORG_NODE_PARENT_CHANGE,"10,
29,
10,
10,
10,
10,
01,
01,
10,
01 ",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,ERSFRCA.SDR.TCCR0H3.NDMFILE.SFK.*.dat ,"ZQC0CJ02


"
SDR_PROCESSES        ,TCCC008#CIM_SDR_COUNTS,"01, 07, 02, 08, 02, 10",/cfs/app/etl_p14/ecdw_apps_p14/mftlcs/files/srcfiles/daily/sfload,ERSFRCA.CIM.TCCC008.NDMFILE.SFK.*.dat,"ZQC01BL1

"
SDR_PROCESSES        ,VCCRH10_SALES_RES_SKILL_CHANGE,"10,29,10,50,2,10,10,1,1,10,1",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,ERSFRCA.ZQC0JJGC.TCCRH10.NDMFILE.SFK.*.dat,"ZQC0JJ02 - Mload Insert View
ZQH10G03 - Update, Insert, View
"
SDR_PROCESSES        ,VCCC200#BILL_ACCOUNT_CHANGE,"1,30,8,1,9,1,1,1,1,1,10,1,1,1,1,20,20,1,2,9,9,5,2,1,21,2,1,20,20,20,20,150,150,150,8,13,1,30.",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQCBFJ1C.TCCC200.NDMFILE.SFK.*.dat,"ZQBAPS04 - Update View
ZQBAPS07 - Update View
ZQBAPS08 - Update View
ZQ231G17 - Update View
ZQ231G20 - Update View
ZQ231G22 - Update View"
SDR_PROCESSES        ,VCCRH12_BU_HIERARCHY_LVL_CHG,"10,30,4,30,10,29,10,10,01,01,10,01",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0LJGC.TCCRH12.NDMFILE.SFK.*.dat,"ZQC0LJ02
ZQH12G03
ZQH12G04
ZQH12G11
ZQH12G12
ZQH12G13

"
SDR_PROCESSES        ,VCCR0H9_SALES_RES_CODE_CHANGE,"10,29,10,20,10,10,1,1,10,1",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0IJGC.TCCR0H9.NDMFILE.SFK.*.dat,"ZQC0IJ02
ZQ0H9G03
ZQ0H9G12"
SDR_PROCESSES        ,VCCR0H1_ORG_NODE_NAME_CHANGE,"10,29,10,80,10,10,1,1,10,1,80",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0AJGC.TCCR0H1.NDMFILE.SFK.*.dat ,"ZQC0AJ02
ZQ0H1G03
ZQ0H1G12"
SDR_PROCESSES        ,TCCC223_RAS_CPNI_HDRS_TRLRS,"5,5,4,4,6,8,6",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,"Header : SDRCQ.CPNIHDR.TCCC223.NDMFILE.SFK.*.dat
Trailer : SDRCQ.CPNITRL.TCCC223.NDMFILE.SFK.*.dat ",ZQRAS103
SDR_PROCESSES        ,VCCR0H7_SALES_RES_ROLE_CHANGE,"10, 29, 10, 50, 10, 10, 01, 01, 10, 01
",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0GJGC.TCCR0H7.NDMFILE.SFK.*.dat ,ZQC0GJ02
SDR_PROCESSES        ,VCCRH11_SLS_RES_AGENT_CHANGE,"10, 10, 10, 29, 10, 10, 01, 01, 10, 01, 02, 10",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCA.ZQC0GJGC.TCCR0H7.NDMFILE.SFK.*.dat,ZQC0KJ02
SDR_PROCESSES        ,VCCC630_ALOC_ADDR_ID_CHG,"01, 08, 01, 20, 20, 06, 26",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,ERSFRCA.AI.TCCC630.NDMFILE.SFK.*.dat,ZQC01ML4
SDR_PROCESSES        ,TCCC448_CUST_LOC_DMG_RLTN_CHG,"01,
08,
01,
09,
50,
02,
02,
150,
150,
150
",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,ERSFRCA.DMG.TCCC448.NDMFILE.SFK.*.dat,"ZQC01ML5
"
SDR_PROCESSES        ,VCCR0H6_SALES_RES_STAT_CHANGE,"10,29,10,40,10,10,01,01,10,01",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0FJGC.ADDSDATA.NDMFILE.SFK.*.dat,ZQC0FJ02
SDR_PROCESSES        ,VCCC600_ALOC_ATTRB_CHG,"01,08,01,26,20,100,100,100,50,10,16,10,50,30,30,08,10,10,03,15,25,05,03,03,03,05,70,07,08,05,05,05,10,05,10,30,06",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.AA.OUT.NDMFILE.SFK.*.dat,ZQC01ML3
SDR_PROCESSES        ,VCCRH14_SLS_RS_SFM_ATTR_CHANGE,"10,29,10,10,10,40,10,10,10,10,10,01,01,01,01,01,30,05,40,20,30,10,10,30,40,40,40,01,01,10,01",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0NJGC.ADDSDATA.NDMFILE.SFK.*.dat,ZQC0NJ02
SDR_PROCESSES        ,OMS_COUNT_DAILY,"1,21",#N/A,SDRCQ.ZQC23JGC.OMSCNTD.NDMFILE.SFK.*.dat,ZQC23J02
SDR_PROCESSES        ,VCCR0H2_ORG_NODE_TERM_CHANGE,"10,29,10,10,10,01,01,10,01",/cfs/app/etl_p81/edw_apps_p81/azn_sdr/files/srcfiles/daily/sfload,SDRCQ.ZQC0BJGC.ADDSDATA.NDMFILE.SFK.*.dat,ZQC0BJ02
MR2000,TZTFE01_BDS_AIM_RECEIPT_STAGE,"30,8,1,8,5,30,2,2,1,1,6,1,30,4,5,5,5,4,10,4,6,15,5,11,1,8,2,6,9,9,2,2,11,2,11,2,60,6,30,60,8,8,8",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZTBD01.TZTFE01
.NDMFILE.SFK.*.dat","MLZTBD01
"
MR2000,TZTFE09_CONSENT_DETAILS_STAGE,"38,22,19,19,22,22,128,19,128,10,10,19",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZTFE09.TZTFE09
.NDMFILE.SFK.*.dat","MLZTFE09
"
MR2000,"10, 2, 4, 5, 15, 10, 11, 15, 14, 9, 11, 5, 12, 4, 4, 10, 4, 5, 10, 10, 2, 1, 1, 6 , 10, 2, 3, 10, 10, 6 , 2, 6, 2, 1, 1, 10, 10, 20, 1, 12, 50, 12, 50 ,12, 8, 50, 20, 6, 100, 100, 4, 20, 20 ,20, 10 ","10, 2, 4, 5, 15, 10, 11, 15, 14, 9, 11, 5, 12, 4, 4, 10, 4, 5, 10, 10, 2, 1, 1, 6 , 10, 2, 3, 10, 10, 6 , 2, 6, 2, 1, 1, 10, 10, 20, 1, 12, 50, 12, 50
12, 8, 50, 20, 6, 100, 100, 4, 20, 20 ,20, 10 ",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DWZSFE11.TZTFE11.NDMFILE.SFK.*.DAT,"MLSTFE11
"
MR2000,TZTFE14_MULTI_ACCT_ROLE_STAGE,"22, 22, 256, 256, 128, 19, 19, 22, 22, 19, 38, 19, 1  ",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZTFE14.TZTFE14
.NDMFILE.SFK.*.dat
","MLZTFE14
"
MR2000,TZTFE16_TITAN_TYPE2_STAGE_TEMP,"10, 2, 4, 5, 15, 10, 4, 15, 14, 9, 10, 5, 12, 4, 4, 10, 4, 5, 10, 10, 2,1, 1, 6, 10, 2, 3, 10, 10, 6, 2, 6, 2 , 1, 1 , 10, 10, 20, 1, 12, 50, 12, 50, 12, 8, 50, 20, 6, 100, 100, 4, 20, 20, 20, 10 ",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZSFE16.TZTFE16.NDMFILE.SFK.*.dat
","MLSTFE16
"
MR2000,TZTFE20_BEST_STAGE_TEMP,"10,2,4, 5,15,10,11,15,14,9,11,5,12,4,4,10,4,5,10,10,2,1,1,6,10,2,3,10,10,6,2,6,2,1,1,10,10,50,1,12,50,12,50,12,8,50,20,6,100,100,4,23,23,23,12,10,09,10,10,18,10,11,11,11,250,02,11,11,02,10,10,11  ",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZSFE20.TZTFE20.NDMFILE.SFK.*.dat

","MLSTFE20
"
MR2000,TZTFE21_PRM_STAGE_TEMP,"10, 2, 4, 5, 15, 10, 11, 15, 14, 9, 11,5, 12, 4, 4, 10, 4, 5, 10 , 10, 2, 1, 1, 6,  10, 2, 3, 10, 10, 6, 2, 6, 2, 1, 1, 10, 10, 50, 1, 12, 50, 12, 50, 12, 8, 50, 20, 6, 100, 100, 4, 23, 23, 23 ",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCQ.DWZSFE21.TZTFE21.NDMFILE.SFK.*.dat

","MLSTFE21
"
MR2000,TZTFE23_ERIC_STAGE_TEMP,"10,2, 4, 5, 15,10,11,15,14,9, 11,9, 12,4, 4, 10,4, 5, 10,10,2, 1, 1, 6, 10,2, 3, 10,10,6, 2, 6, 2, 1, 1, 10,10,50,1, 12,50,12,50,12,8, 50,20,6, 100,100,4,23,23,23",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,ERSFRCQ.DTV.R.TZTFE23.SORT.NDMFILE.SFK.*.dat,MLSTFE23
NETWORK,TCTN010_TIRKS_CARRIER_FACILITY,"1,4,1,2,1,36,1,2,8,2,13,2,1,1,3,4,4,4,4,11,11,1,6,2,3,6,1,6,10,3,10,10,6,10,10,1,1,10,3,10,10,6,10,10,1,1,1,2,6,2,1,12,72,2,8,2,2,6,1,5,2,2,2,1,1,1",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCX1.A.TCTN010.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.B.TCTN010.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.P.TCTN010.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.S.TCTN010.NDMFILE.SFK.*.DAT","MLATN010
MLBTN010
MLPTN010
MLSTN010"
NETWORK,tctn011_tirks_carrier_channel,"1,4,1,2,1,36,1,8,2,13,2,4,2,2,5,5,5,5,5,2,5,5,5,5,5,3,1,3,4",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCX1.A.TCTN011.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.B.TCTN011.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.P.TCTN011.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.S.TCTN011.NDMFILE.SFK.*.DAT","MLATN011
MLBTN011
MLPTN011
MLSTN011"
NETWORK,tctn012_tirks_carrier_circuit,"1,4,1,2,1,36,1,8,2,13,2,4,1,8,3,1,1,1,45,8,2,1,1,2,14,14,11,11,8,4,4,2,13,2",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCX1.A.TCTN012.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.B.TCTN012.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.P.TCTN012.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.S.TCTN012.NDMFILE.SFK.*.DAT","MLATN012
MLBTN012
MLPTN012
MLSTN012"
NETWORK,tctn013_tirks_carrier_owner,"1,4,1,2,1,6,1,8,2,13,2,4,3,6,8,1,1,4,6",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCX1.A.TCTN013.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.B.TCTN013.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.P.TCTN013.NDMFILE.SFK.*.DAT
DWPC.TZDWCX1.S.TCTN013.NDMFILE.SFK.*.DAT","MLATN013
MLBTN013
MLPTN013
MLSTN013"
NETWORK,TCTN017_TIRKS_CKT_HEADER_LOOP,"1,4,1,2,2,8,13,2,3,10,10,3,5,5,20,20,20,20,50,11,4,2,5,5,5,5,4,4,2,4,6,4,4,1",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCPX.A.TCTN017.NDMFILE.SFK.*.DAT
DWPC.TZDWCPX.B.TCTN017.NDMFILE.SFK.*.DAT
DWPC.TZDWCPX.P.TCTN017.NDMFILE.SFK.*.DAT
DWPC.TZDWCPX.S.TCTN017.NDMFILE.SFK.*.DAT","MLATN017
MLBTN017
MLPTN017
MLSTN017"
NETWORK,TCTN018_TIRKS_CKT_FCLTY_DETAIL,"1,4,1,2,2,8,13,1,3,1,2,11,11,1,2,13,10,6,5,5,27,8,23,8,23",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWCPX.A.TCTN018.NDMFILE.SFK.*.DAT
DWPC.TZDWPC1.B.TCTN018.NDMFILE.SFK.*.DAT
DWPC.TZDWCPX.P.TCTN018.NDMFILE.SFK.*.DAT
DWPC.TZDWCPX.S.TCTN018.NDMFILE.SFK.*.DAT
","MLATN018
MLBTN018
MLPTN018
MLSTN018"
NETWORK,TCTN019_TIRKS_TRUNK_CIRCUIT,"1,4,1,8,4,4,4,4",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWGN1.A.TCTN019.NDMFILE.SFK.*.DAT
DWPC.TZDWGN1.B.TCTN019.NDMFILE.SFK.*.DAT
DWPC.TZDWGN1.P.TCTN019.NDMFILE.SFK.*.DAT
DWPC.TZDWGN1.S.TCTN019.NDMFILE.SFK.*.DAT
","MLATN019
MLBTN019
MLPTN019
MLSTN019"
NETWORK,TCTN020_TIRKS_EQUIP_PROFILE,"1,4,1,2,11,10,10,6,6,4,4,2,1,2,11,1,1,1,1,4,4,1,1,12,5,2,4",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWEQ1.A.TCTN020.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.B.TCTN020.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.P.TCTN020.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.S.TCTN020.NDMFILE.SFK.*.DAT
","MLATN020
MLBTN020
MLPTN020
MLSTN020"
NETWORK,TCTN022_TIRKS_EQUIP_CKT_ORDER,"1,4,1,2,11,10,10,6,10,3,8,1,10,3,8,1,10,3,8,1",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWEQ1.A.TCTN022.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.B.TCTN022.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.P.TCTN022.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.S.TCTN022.NDMFILE.SFK.*.DAT
","MLATN022
MLBTN022
MLPTN022
MLSTN022"
NETWORK,TCTN024_TIRKS_EQUIP_FRAME_INFO,"1,4,1,2,11,10,10,5,3,1,2,2,5,5,5,5,7",/cfs/app/etl_p81/edw_apps_p81/edwntk/files/srcfiles/daily/sfload,"DWPC.TZDWEQ1.A.TCTN024.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.B.TCTN024.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.P.TCTN024.NDMFILE.SFK.*.DAT
DWPC.TZDWEQ1.S.TCTN024.NDMFILE.SFK.*.DAT
","MLATN024
MLBTN024
MLPTN024
MLSTN024"
